Borough,F1,Neighborhood Latitude,Neighborhood Longitude,Neighborhood,Number of Records,Venue Category,Venue Latitude,Venue Longitude,Venue
Bronx,65,40.837937822,-73.856003105,"Parkchester, Bronx",1,Italian Restaurant,40.834917835,-73.854410648,Lorraine's Bar and Grill
Bronx,66,40.840619496,-73.842194076,"Westchester Square, Bronx",1,Pizza Place,40.840242514,-73.843355208,Ljubo's Pizza
Bronx,67,40.840619496,-73.842194076,"Westchester Square, Bronx",1,Pizza Place,40.841101354,-73.843138276,Little Caesars Pizza
Bronx,68,40.843608471,-73.866299181,"Van Nest, Bronx",1,Pizza Place,40.844961992,-73.867605559,Morris Park Pizza
Bronx,69,40.843608471,-73.866299181,"Van Nest, Bronx",1,Pizza Place,40.845760582,-73.863847703,Primavera Pizzeria & Restaurant
Bronx,70,40.843608471,-73.866299181,"Van Nest, Bronx",1,Coffee Shop,40.845905640,-73.862836087,Conti's Pastry Shoppe
Bronx,71,40.843608471,-73.866299181,"Van Nest, Bronx",1,Pizza Place,40.845269327,-73.866099727,Anthony's Pizza
Bronx,72,40.843608471,-73.866299181,"Van Nest, Bronx",1,Pizza Place,40.845313044,-73.864638850,Domino's Pizza
Bronx,73,40.847549064,-73.850401780,"Morris Park, Bronx",1,Italian Restaurant,40.849312983,-73.853535767,Patricia's
Bronx,74,40.847549064,-73.850401780,"Morris Park, Bronx",1,Pizza Place,40.848875804,-73.854374621,Captain's Pizza
Bronx,75,40.847549064,-73.850401780,"Morris Park, Bronx",1,Pizza Place,40.848934634,-73.854579706,Emilio's Pizza
Bronx,76,40.847549064,-73.850401780,"Morris Park, Bronx",1,Pizza Place,40.848876976,-73.854376639,Captain's Pizzeria & Restaurant
Bronx,77,40.847549064,-73.850401780,"Morris Park, Bronx",1,Coffee Shop,40.848674919,-73.854973109,La Casa Del Caffe
Bronx,78,40.847549064,-73.850401780,"Morris Park, Bronx",1,Pizza Place,40.848268552,-73.855999875,Luciano's Pizza
Bronx,79,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.855882171,-73.887166120,Tino's Delicatessen
Bronx,80,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.855505712,-73.887556984,Full Moon Pizzeria
