BoroName,Borough,F1,Geometry,Latitude (generated),Latitude,Longitude (generated),Longitude,Neighborhood,Number of Records,hood
West Toronto,West Toronto,28,MULTIPOLYGON,43.68617675,43.6515706,-79.55036167,-79.4844499,Runnymede / Swansea-Toronto,1,Willowridge-Martingrove-Richview
West Toronto,West Toronto,25,MULTIPOLYGON,43.68617675,43.6489597,-79.55036167,-79.456325,Parkdale / Roncesvalles-Toronto,1,Willowridge-Martingrove-Richview
West Toronto,West Toronto,22,MULTIPOLYGON,43.68617675,43.6616083,-79.55036167,-79.4647633,High Park / The Junction South-Toronto,1,Willowridge-Martingrove-Richview
West Toronto,West Toronto,14,MULTIPOLYGON,43.68617675,43.6368472,-79.55036167,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Willowridge-Martingrove-Richview
West Toronto,West Toronto,11,MULTIPOLYGON,43.68617675,43.6479267,-79.55036167,-79.4197497,Little Portugal / Trinity-Toronto,1,Willowridge-Martingrove-Richview
West Toronto,West Toronto,9,MULTIPOLYGON,43.68617675,43.6690051,-79.55036167,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Willowridge-Martingrove-Richview
West Toronto,West Toronto,28,MULTIPOLYGON,43.74796613,43.6515706,-79.58095411,-79.4844499,Runnymede / Swansea-Toronto,1,Mount Olive-Silverstone-Jamestown
West Toronto,West Toronto,25,MULTIPOLYGON,43.74796613,43.6489597,-79.58095411,-79.456325,Parkdale / Roncesvalles-Toronto,1,Mount Olive-Silverstone-Jamestown
West Toronto,West Toronto,22,MULTIPOLYGON,43.74796613,43.6616083,-79.58095411,-79.4647633,High Park / The Junction South-Toronto,1,Mount Olive-Silverstone-Jamestown
West Toronto,West Toronto,14,MULTIPOLYGON,43.74796613,43.6368472,-79.58095411,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Mount Olive-Silverstone-Jamestown
West Toronto,West Toronto,11,MULTIPOLYGON,43.74796613,43.6479267,-79.58095411,-79.4197497,Little Portugal / Trinity-Toronto,1,Mount Olive-Silverstone-Jamestown
West Toronto,West Toronto,9,MULTIPOLYGON,43.74796613,43.6690051,-79.58095411,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Mount Olive-Silverstone-Jamestown
West Toronto,West Toronto,28,MULTIPOLYGON,43.7280119,43.6515706,-79.56764118,-79.4844499,Runnymede / Swansea-Toronto,1,Rexdale-Kipling
West Toronto,West Toronto,25,MULTIPOLYGON,43.7280119,43.6489597,-79.56764118,-79.456325,Parkdale / Roncesvalles-Toronto,1,Rexdale-Kipling
West Toronto,West Toronto,22,MULTIPOLYGON,43.7280119,43.6616083,-79.56764118,-79.4647633,High Park / The Junction South-Toronto,1,Rexdale-Kipling
West Toronto,West Toronto,14,MULTIPOLYGON,43.7280119,43.6368472,-79.56764118,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Rexdale-Kipling
West Toronto,West Toronto,11,MULTIPOLYGON,43.7280119,43.6479267,-79.56764118,-79.4197497,Little Portugal / Trinity-Toronto,1,Rexdale-Kipling
West Toronto,West Toronto,9,MULTIPOLYGON,43.7280119,43.6690051,-79.56764118,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Rexdale-Kipling
