,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2825,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,Absolute Coffee,40.68807946939255,-73.98769332950604,Coffee Shop
2885,"Ocean Hill, Brooklyn",40.678402554795355,-73.91306831787395,Daily Press Coffee,40.6784899444382,-73.91090903870442,Coffee Shop
2941,"City Line, Brooklyn",40.67856995727479,-73.86797598081334,Jassar Gourmet Deli,40.67761698488269,-73.864208353719,Coffee Shop
3022,"Georgetown, Brooklyn",40.62384524478419,-73.91607483951324,Starbucks,40.625874,-73.91746,Coffee Shop
3050,"East Williamsburg, Brooklyn",40.70849241041548,-73.93885815269195,City of Saints Coffee Roasters,40.70886064129511,-73.93602911739248,Coffee Shop
3053,"East Williamsburg, Brooklyn",40.70849241041548,-73.93885815269195,Jessi's Coffee Shop,40.70815526996501,-73.9399518496672,Coffee Shop
3057,"East Williamsburg, Brooklyn",40.70849241041548,-73.93885815269195,Cup,40.70774660616592,-73.940150141716,Coffee Shop
3078,"East Williamsburg, Brooklyn",40.70849241041548,-73.93885815269195,Lula Bean,40.711923725545226,-73.94124826279617,Coffee Shop
3122,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Sweatshop,40.715089868805926,-73.95973374883259,Coffee Shop
3147,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,ppl,40.71282137546778,-73.95844548940659,Coffee Shop
3159,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Black Brick,40.714184577749386,-73.96155735867296,Coffee Shop
3165,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Blue Bottle Coffee,40.716913,-73.961039,Coffee Shop
3185,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Oslo Coffee,40.71472542106371,-73.95704258364536,Coffee Shop
3197,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Partners Coffee,40.718012,-73.959174,Coffee Shop
3207,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Hungry Ghost,40.716089,-73.959484,Coffee Shop
3208,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Lion's Milk,40.71583338158002,-73.95570533511494,Coffee Shop
3223,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,ppl,40.71282137546778,-73.95844548940659,Coffee Shop
3258,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Northerly,40.710535802393785,-73.9581638123791,Coffee Shop
3276,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Konditori,40.708614,-73.957906,Coffee Shop
3297,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Oslo Coffee Roasters,40.71310488717666,-73.96217867031888,Coffee Shop
3304,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Sweatshop,40.715089868805926,-73.95973374883259,Coffee Shop
3360,"Fort Hamilton, Brooklyn",40.61476812694226,-74.03197914537984,Pep,40.6175,-74.03332,Coffee Shop
3462,"Chinatown, Manhattan",40.71561842231432,-73.99427936255978,Little Canal,40.714317,-73.990361,Coffee Shop
3504,"Chinatown, Manhattan",40.71561842231432,-73.99427936255978,Cafe Grumpy,40.71506878269568,-73.98995222774947,Coffee Shop
3512,"Washington Heights, Manhattan",40.85190252555305,-73.93690027985234,Forever Coffee Bar,40.85043253392718,-73.93660674414312,Coffee Shop
3544,"Washington Heights, Manhattan",40.85190252555305,-73.93690027985234,Starbucks,40.85096145,-73.93833015,Coffee Shop
3622,"Inwood, Manhattan",40.86768396449915,-73.92121042203897,Kuro Kirin,40.866223,-73.925691,Coffee Shop
3665,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Monkey Cup,40.82569352281918,-73.94723406493276,Coffee Shop
3669,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Double Dutch Espresso,40.821954,-73.950043,Coffee Shop
3679,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Manhattanville Coffee,40.8214960193694,-73.94459457496639,Coffee Shop
3683,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Matto Espresso (Espresso Matto),40.82495765397038,-73.95175921866948,Coffee Shop
3721,"Manhattanville, Manhattan",40.8169344294978,-73.9573853935188,Plowshares Coffee,40.813705,-73.955776,Coffee Shop
3732,"Manhattanville, Manhattan",40.8169344294978,-73.9573853935188,Kuro Kuma,40.81389238492917,-73.96002657140916,Coffee Shop
3737,"Manhattanville, Manhattan",40.8169344294978,-73.9573853935188,Starbucks,40.81507408334908,-73.95893045497931,Coffee Shop
3744,"Manhattanville, Manhattan",40.8169344294978,-73.9573853935188,Dear Mama Coffee,40.817333,-73.959494,Coffee Shop
3851,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Handcraft Coffee,40.77353518266607,-73.95967048748328,Coffee Shop
