,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2322,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,La Villa,40.67439262406785,-73.98190586497698,Pizza Place
2337,"Cypress Hills, Brooklyn",40.68239101144211,-73.87661596457296,Original Mike's Pizza,40.68360015531762,-73.8724819066971,Pizza Place
2352,"Cypress Hills, Brooklyn",40.68239101144211,-73.87661596457296,Tony's Pizzeria,40.681933,-73.878874,Pizza Place
2366,"East New York, Brooklyn",40.669925700847045,-73.88069863917366,Caterina Pizza,40.66638294169508,-73.88333574100211,Pizza Place
2383,"Starrett City, Brooklyn",40.64758905230874,-73.87936970045875,Armandos Pizzaria,40.646847515605664,-73.88349079761275,Pizza Place
2427,"Manhattan Beach, Brooklyn",40.57791350308657,-73.94353722891886,Enzo's Pizza,40.578589054743176,-73.93805832939209,Pizza Place
2445,"Coney Island, Brooklyn",40.57429256471601,-73.98868295821637,On The Run Pizza,40.57666991736231,-73.98455934038772,Pizza Place
2456,"Bath Beach, Brooklyn",40.59951870282238,-73.99875221443519,La Bella Pizza Express,40.60200450936564,-73.99412688007006,Pizza Place
2494,"Borough Park, Brooklyn",40.633130512758015,-73.99049823044811,Amnon's Pizza,40.63528768356099,-73.99192730400661,Pizza Place
2499,"Borough Park, Brooklyn",40.633130512758015,-73.99049823044811,Dagan Pizza & Dairy Restaurant,40.63126305944451,-73.98538657826741,Pizza Place
2509,"Borough Park, Brooklyn",40.633130512758015,-73.99049823044811,Moti's,40.63010897068533,-73.98626804351805,Pizza Place
2527,"Gerritsen Beach, Brooklyn",40.590848433902046,-73.93010170691196,Victoria's Pizzeria,40.59291248688142,-73.92547297694043,Pizza Place
2536,"Gerritsen Beach, Brooklyn",40.590848433902046,-73.93010170691196,Venezia Pizzeria & Restaurant,40.586577,-73.931115,Pizza Place
2538,"Marine Park, Brooklyn",40.609747779894604,-73.93134404108497,Pizza Emporium,40.60915469821627,-73.93213071145487,Pizza Place
2565,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Graziella's,40.690500785798285,-73.96943770796737,Pizza Place
2591,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Luigi's Pizzeria,40.689689,-73.965508,Pizza Place
2604,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Il Porto,40.69757431924721,-73.96763620500913,Pizza Place
2621,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Domino's Pizza,40.69308046403255,-73.97333805262633,Pizza Place
